,Accuracy,F1-Score,Precision,Recall,ROC-AUC
Logistic Regression,0.8044692737430168,0.7286821705426356,0.7833333333333333,0.6811594202898551,0.8508563899868248
Random Forest,0.8156424581005587,0.7518796992481203,0.78125,0.7246376811594203,0.8291172595520422
